,distance,consume,speed,temp_inside,temp_outside,gas_type,refill liters,refill gas,AC,rain,snow,sun,distance_miles,consumed_per_100m,MPG,consumption_rate
192,12.1,4.2,43,22.0,4,SP98,39.0,SP98,0,0,0,0,7.5185891,1.1095224000000001,6.776419385494154,34.710743801652896
193,56.1,4.8,82,22.0,13,SP98,,,0,0,0,0,34.8589131,1.2680256,27.490701370697877,8.55614973262032
194,39.0,4.1,61,22.0,16,SP98,,,0,0,0,0,24.233469,1.0831051999999999,22.374067634427387,10.512820512820511
195,11.8,4.5,41,21.5,13,SP98,,,0,0,0,0,7.3321778,1.188774,6.167848388339584,38.13559322033898
196,38.5,4.8,63,21.5,14,SP98,,,0,0,0,0,23.9227835,1.2680256,18.86616760734168,12.467532467532468
197,28.2,4.6,54,21.5,14,SP98,,,0,0,0,0,17.5226622,1.2151912,14.419675027271428,16.31205673758865
198,2.9,7.4,24,21.5,14,SP98,,,0,0,0,0,1.8019759,1.9548728000000002,0.9217867781474067,255.17241379310346
199,6.1,5.6,24,21.5,13,SP98,,,0,0,0,0,3.7903631,1.4793632,2.5621585693087403,91.80327868852459
200,19.6,4.9,43,21.5,13,SP98,,,0,0,0,0,12.1788716,1.2944428000000001,9.40858228729767,25.0
201,22.2,3.8,42,,15,SP98,,,0,0,0,0,13.7944362,1.0038536,13.741482024868965,17.117117117117118
202,13.6,4.5,44,19.0,18,SP98,,,0,0,0,0,8.4506456,1.188774,7.10870661706935,33.088235294117645
203,12.6,4.1,33,,17,SP98,,,0,0,0,0,7.8292746,1.0831051999999999,7.228544928045771,32.53968253968254
204,8.7,5.3,28,22.5,12,SP98,,,1,1,0,0,5.4059276999999994,1.4001116,3.861069146202345,60.91954022988506
205,7.9,4.7,31,22.5,12,SP98,,,1,0,0,0,4.9088309,1.2416084,3.953606386683595,59.49367088607595
206,2.4,9.0,26,20.0,10,SP98,,,0,0,0,0,1.4912904,2.377548,0.627238819153178,375.0
207,4.9,6.3,26,20.0,10,SP98,,,0,0,0,0,3.0447179,1.6642836,1.8294465558634359,128.57142857142856
